<<<<<<< HEAD
2015-06-03 09:20:32->服务端已启动...
2015-06-03 09:20:32->已连接到server=121.42.154.95; user id=vivid; password=vivid; database=vivid;Charset=utf8
2015-06-03 09:20:47->在线用户:0/6
2015-06-03 09:21:22->服务端已启动...
2015-06-03 09:21:22->已连接到server=121.42.154.95; user id=vivid; password=vivid; database=vivid;Charset=utf8
2015-06-03 09:21:36->在线用户:0/6
2015-06-03 09:21:37->当前版本:1.5.2
2015-06-03 09:21:50->已设置版本:1.5.3
=======
2015-06-01 21:42:20->服务端已启动...
2015-06-01 21:42:20->已连接到server=121.42.154.95; user id=vivid; password=vivid; database=vivid;Charset=utf8
2015-06-01 21:42:26->在线用户:0/6
2015-06-01 21:42:49->服务端已启动...
2015-06-01 21:42:49->已连接到server=121.42.154.95; user id=vivid; password=vivid; database=vivid;Charset=utf8
2015-06-01 21:42:51->ahahdfahdsf
2015-06-01 21:42:51->ahahdfahdsf
2015-06-01 21:42:51->ahahdfahdsf
2015-06-01 21:42:52->ahahdfahdsf
2015-06-01 21:42:52->ahahdfahdsf
2015-06-01 21:42:52->ahahdfahdsf
2015-06-01 21:42:52->ahahdfahdsf
2015-06-01 21:42:52->ahahdfahdsf
2015-06-01 21:42:52->ahahdfahdsf
2015-06-01 21:42:53->ahahdfahdsf
2015-06-01 21:42:53->ahahdfahdsf
2015-06-01 21:42:53->ahahdfahdsf
2015-06-01 21:42:53->ahahdfahdsf
2015-06-01 21:42:53->ahahdfahdsf
2015-06-01 21:42:54->ahahdfahdsf
2015-06-01 21:42:55->在线用户:0/6
2015-06-01 21:42:55->ahahdfahdsf
2015-06-01 21:42:56->ahahdfahdsf
2015-06-01 21:42:57->ahahdfahdsf
2015-06-01 21:42:57->ahahdfahdsf
2015-06-01 21:42:57->ahahdfahdsf
2015-06-01 21:42:58->ahahdfahdsf
2015-06-01 21:42:58->ahahdfahdsf
2015-06-01 21:42:59->ahahdfahdsf
2015-06-01 21:42:59->ahahdfahdsf
2015-06-01 21:42:59->ahahdfahdsf
2015-06-01 21:43:00->ahahdfahdsf
2015-06-01 21:43:00->ahahdfahdsf
2015-06-01 21:43:00->ahahdfahdsf
2015-06-01 21:43:00->ahahdfahdsf
2015-06-01 21:43:00->ahahdfahdsf
2015-06-01 21:43:01->ahahdfahdsf
2015-06-01 21:43:01->ahahdfahdsf
2015-06-01 21:43:01->ahahdfahdsf
2015-06-01 21:43:01->ahahdfahdsf
2015-06-01 21:43:01->ahahdfahdsf
2015-06-01 21:43:01->ahahdfahdsf
2015-06-01 21:43:02->ahahdfahdsf
2015-06-01 21:43:02->ahahdfahdsf
2015-06-01 21:43:02->ahahdfahdsf
2015-06-01 21:43:02->ahahdfahdsf
2015-06-01 21:43:02->ahahdfahdsf
2015-06-01 21:43:03->ahahdfahdsf
2015-06-01 21:43:03->ahahdfahdsf
2015-06-01 21:43:03->ahahdfahdsf
2015-06-01 21:43:03->ahahdfahdsf
2015-06-01 21:43:03->ahahdfahdsf
2015-06-01 21:43:03->ahahdfahdsf
2015-06-01 21:43:04->ahahdfahdsf
2015-06-01 21:43:04->ahahdfahdsf
2015-06-01 21:43:04->ahahdfahdsf
2015-06-01 21:43:04->ahahdfahdsf
2015-06-01 21:43:04->ahahdfahdsf
2015-06-01 21:43:05->ahahdfahdsf
2015-06-01 21:43:05->ahahdfahdsf
2015-06-01 21:43:07->ahahdfahdsf
2015-06-01 21:43:07->ahahdfahdsf
2015-06-01 21:43:08->ahahdfahdsf
2015-06-01 21:43:08->ahahdfahdsf
2015-06-01 21:43:08->ahahdfahdsf
2015-06-01 21:43:08->ahahdfahdsf
>>>>>>> 29c319b61e0ba530c9503905db1273d08da96a2a
